Region,Latitude,Longitude,Crime_Type,FIR_Count,Crime_Rate,PM2.5,PM10,NO2,SO2,CO,O3,Population_Density,Smoking_Prevalence,Industrial_Activity,Accidents,Survival_Rate,Lung_Disease_Probability
North Ludhiana,30.94290481414646,75.81329717598855,Fraud,39,0.08477972215274349,40.025739315897226,114.83642738312483,47.851436412893236,31.091671246103942,1.3899158249842003,54.62294892407954,23542.121686041355,18.836499620229006,9.991275630891323,1,100,40
Central Ludhiana,30.86046086549759,75.81526097892784,Assault,38,0.035399998372886335,20.47761108726263,148.689095210284,41.47617760114372,36.990041580284014,1.2192755258874968,31.212049508467317,6833.664192818105,18.409940893761814,3.8450074661523104,30,82.67844174822194,33.407770331455495
West Ludhiana,30.999835814954714,75.94593687409069,Fraud,26,0.07064048119820655,96.37054078280926,58.73131873086095,25.81030919915065,15.055352663621306,0.5114718774566427,44.764897930435836,10455.760168842971,10.077376468107104,3.7611919757910073,8,87.73349116784705,33.731459792615624
West Ludhiana,30.998907868424432,75.8316396652488,Assault,26,0.03873141372110695,62.32294000685215,91.72829270828515,33.77941440790892,11.638807426206768,0.9882900267839432,35.03483770415187,21244.663456454873,12.369917230680585,2.9862465243786573,4,89.78030216150262,30.62992851007648
Central Ludhiana,30.81201029396616,75.7953267111443,Robbery,8,0.010222603734582662,93.3528327383101,139.2856843303889,31.60406968323514,28.311529530910775,1.3665840019239113,47.54578981548548,13359.70870219171,17.706559030339122,4.975544500630349,10,88.60501309777544,40
East Ludhiana,30.91923370063305,75.82177122707945,Robbery,43,0.04071782951243222,48.35659382864833,86.67594972066581,58.37250908603892,30.914630151819438,0.8525887278374285,53.51442747749388,23033.455167897046,15.38960199803114,4.136768609751016,8,92.53139606264156,33.30889910947835
West Ludhiana,30.98855588841252,75.73905046237633,Robbery,37,0.035674335968215024,52.46897250413895,141.49824203923345,54.24501602770761,36.181332626147196,1.3272523714695126,69.77495862171054,10696.76585495472,13.46338614821434,0.7123025343753397,14,95.48302932882491,35.31308556107482
East Ludhiana,30.919828983163463,75.73299241566565,Theft,16,0.019264123521279545,84.34082839637995,146.96829591412097,38.036729572340846,9.64583902969025,0.9243820855626836,40.08531447034329,12042.573085054755,27.032582303509116,8.772621292155236,10,92.3482462441224,40
North Ludhiana,30.967941021267325,75.9490284528816,Theft,33,0.09841665771557019,29.813246689736843,98.16205089446157,14.267641832120717,30.881352656288072,0.8806145392591134,62.66997086815536,14118.014662526548,20.37018661852926,3.6944141518324614,13,100,37.98490674038205
North Ludhiana,30.932866661343724,75.98784265629948,Assault,10,0.05415867105824874,94.7582334280014,144.26403974648565,45.32962582539767,25.70257842191495,1.122751360409893,37.690390115603805,11705.273557454348,16.968125416897237,4.7176327696070075,18,93.03660609625115,40
